0 — part	1 — name	2 — name_agreement_percent	3 — name_agreement_abs	4 — subjective_complexity	5 — objective_complexity	6 — familiarity	7 — age	8 — imageability	9 — image_agreement	10 — frequency	11 — syllables	12 — phonemes
2	1. автобус (a bus)	100	0	2,65	--	4,79	1,43	1,07	4,46	64,80	3,00	7,00
2	2. автомат (a sub-machine gun)	53	1,72	3,3	--	2,76	2,21	1,56	3,64	56,00	3,00	7,00
2	3. автомобиль (a car)	60	1,04	2,7	--	4,72	1,7	1,11	3,04	156,90	4,00	9,00
1	4. акваланг (an aqualung)	44	1,97	3,17	420,00	2,24	3,38	1,31	3,75	1,90	3,00	8,00
1	5. аквариум (an aquarium)	99	0,08	3,36	296,00	3,97	2,20	1,16	4,00	8,30	4,00	8,00
1	6. акула (a shark)	100	0,00	3,25	345,00	2,77	2,06	1,06	4,56	9,30	3,00	5,00
1	7. ананас (a pineapple)	99	0,08	2,89	388,00	4,25	2,51	1,08	4,73	3,60	3,00	6,00
1	8. антенна (an antenna)	99	0,08	2,23	173,00	3,68	2,32	1,25	3,89	8,50	3,00	6,00
1	9. апельсин (an orange)	50	1,86	2,88	343,00	4,43	1,38	1,03	3,75	7,60	3,00	7,00
2	10. аптека (a pharmacy)	86	0,87	3,41	--	4,49	1,9	1,18	3,99	15,10	3,00	6,00
2	11. арбуз (a watermelon)	56	1,06	2,43	--	4,38	1,43	1,02	4,65	9,10	2,00	5,00
2	12. арка (an arch)	91	0,59	2,84	--	3,9	2,73	1,2	3,65	12,90	2,00	4,00
1	13. арфа (a harp)	99	0,08	2,93	546,00	3,29	3,00	1,57	4,36	2,60	2,00	4,00
2	14. баба-яга (Baba-Yaga)	67	1,57	4,05	--	3,33	1,33	1,19	4,32	2,50	4,00	8,00
1	15. бабочка (a butterfly)	97	0,22	3,28	398,00	4,33	1,27	1,07	4,79	21,30	3,00	7,00
