name	PercNA	RandomNomCat	H
ачуланырга (злиться. гневаться)	44	FALSE	3.26464470488
кочаклашырга (обниматься)	39	FALSE	2.52657118711
киптерергә (сушить)	45	FALSE	1.89829814811
кешнәргә (ржать)	75	FALSE	1.47289332211
этәргә (толкать)	57	FALSE	1.00405333744
ясарга (делать)	65	FALSE	1.91586805927
уйнарга (играть)	98	FALSE	0.139232999055
пешерергә (варить. готовить)	78	FALSE	1.2482682577
тегәргә (шить)	61	FALSE	1.5766791747
кычкырырга (кричать)	98	FALSE	0.139232999055
кагарга (выбивать)	94	FALSE	0.415990047175
күчерергә (списать)	55	FALSE	2.32689690572
юындырырга (умывать)	11	FALSE	1.74338312825
уйнарга (играть)	51	FALSE	1.78118635226
алырга (брать)	80	FALSE	0.855569808847
сөрергә (пахать)	49	FALSE	1.99078021198
шуышырга (ползать)	41	FALSE	2.88393839434
карарга (смотреть)	96	FALSE	0.277900197626
йокларга (спать)	100	FALSE	0.0
үбәргә (целовать)	80	FALSE	1.16929529904
төшәргә (спускаться)	71	FALSE	1.6777794493
юарга (мыть)	66	FALSE	1.62860452763
куарга (гнать)	59	FALSE	1.74642008948
авырырга (болеть)	41	FALSE	2.30375497555
эрергә (таять)	92	FALSE	0.460257429599
уйларга  (думать)	41	FALSE	1.60955175787
тотарга (держать)	18	FALSE	3.63294948965
казырга (копать)	31	FALSE	2.88734494948
тегәргә (шить)	98	FALSE	0.139232999055
буярга (красить)	76	FALSE	1.47378442951
урын бирергә (уступить (место)	31	FALSE	3.28273312666
утыртырга (сажать)	100	FALSE	0.0
кабартырга (надувать)	71	FALSE	1.63090965468
чүкергә (ковать)	16	FALSE	3.80929691043
өйләнешергә (жениться)	37	FALSE	3.141262396
кидерергә (одевать)	27	FALSE	3.42561786307
мөгрәргә (мычать)	69	FALSE	1.88743160477
эләктерергә (застегивать)	33	FALSE	2.60772706326
җыештырырга (убирать)	78	FALSE	0.899749875139
күтәрергә (поднимать)	47	FALSE	2.37039342052
бәйләргә (завязывать)	43	FALSE	1.2315083955
атарга (извергать)	33	FALSE	3.19678282757
сызгырырга (свистеть)	76	FALSE	1.43456874323
керергә (входить)	39	FALSE	2.39204954323
салырга (влить)	65	FALSE	1.53528159782
чукырга (клевать. поклевать)	80	FALSE	1.32615804414
төшәргә (спускаться)	92	FALSE	0.460257429599
еларга (плакать)	98	FALSE	0.139232999055
тутырырга (наполнять. набивать)	29	FALSE	2.30057859189
пышылдарга (шептать)	41	FALSE	2.18520364878
ыргытырга/атарга (бросать. кидать)	43	FALSE	1.7466412004
төчкерергә (чихать)	51	FALSE	1.98954447899
дәваларга (лечить)	49	FALSE	2.34403535768
яларга (облизывать)	96	FALSE	0.277900197626
йөзәргә (плавать) / переплывать	71	FALSE	1.6405219095
кычкырырга (звать (громким голосом)	76	FALSE	1.35613737068
ясарга (делать. изготавливать)	14	FALSE	4.10790671566
сөртергә (протирать)	84	FALSE	0.712016147725
атларга (шагать)	68	FALSE	1.68174091858
китәргә (уезжать. улетать)	61	FALSE	1.94997930024
коткарырга (спасать)	88	FALSE	0.669809864818
тәгәрәргә (катиться)	51	FALSE	2.06601770507
кабызырга (включать)	25	FALSE	3.50634212016
ачуланырга (злиться)	61	FALSE	1.96920380987
казырга (копать. ковырять)	61	FALSE	1.41887592011
өзелергә (обрываться)	63	FALSE	1.96988546128
юешләнергә (мокнуть)	31	FALSE	3.07431762699
сыгарга (выжимать)	59	FALSE	1.38309999119
буарга (душить)	82	FALSE	1.09924457219
шакырга (стучать)	80	FALSE	1.16929529904
алырга (покупать)	35	FALSE	2.0090314687
керергә/кайтырга (входить. возвращаться)	20	FALSE	3.66629073651
суыртырга (всасывать)	47	FALSE	2.08709506883
шартлатырга  (взрывать)	88	FALSE	0.733439521638
манырга (макать)	29	FALSE	3.24566811858
әйләндерергә (переворачивать)	75	FALSE	1.49534914618
уйнарга (играть)	26	FALSE	2.06397148835
юынырга (мыться)	94	FALSE	0.322756958897
сикерергә  (прыгать)	96	FALSE	0.238684511351
атарга (стрелять)	94	FALSE	0.415990047175
бөгәргә (гнуть)	31	FALSE	3.6748899894
борылырга (поворачивать)	82	FALSE	1.15326197419
кимерергә (грызть)	27	FALSE	3.11999917899
чистартырга (чистить)	49	FALSE	1.23839583684
сындырырга (ломать)	75	FALSE	1.16359062582
язарга (писАть)	92	FALSE	0.553490517876
көтәргә (ждать)	33	FALSE	2.51562841441
авырырга (болеть)	39	FALSE	2.32935831631
сибәргә (брызгать (духи)	37	FALSE	1.85640670279
бөдрәләтергә (завивать)	41	FALSE	3.02795757018
төяргә (грузить)	53	FALSE	2.40484445835
бакылдарга (крякать об утке. квакать о лягушке)	47	FALSE	2.00384200779
тукырга (ткать)	35	FALSE	3.0450852048
сөртергә (вытирать)	49	FALSE	2.07527531882
кычкырырга (кричать)	59	FALSE	2.14938703269
сүтәргә (распускать)	78	FALSE	1.02777585579
ташырга (нести)	33	FALSE	1.93262792148
ватарга (ломать)	57	FALSE	2.12737444355
сатарга (продавать)	88	FALSE	0.611957695332
уйнарга (играть)	49	FALSE	2.25604553351
күз кысарга (щуриться)	20	FALSE	3.65540531372
утырырга (сидеть)	61	FALSE	1.9299881236
яшерергә (прятать)	55	FALSE	2.25124414984
